勞健保,勞保,健保,勞工保險,全民健康保險,健康保險,,,,,,
勞動基準法,勞基法,勞動基準,勞基,,,,,,,,
職工福利金,職福金,職工金,福利金,,,,,,,,
職工福利委員會,職福會,福利會,職福單位,,,,,,,,
職業安全衛生法,職安法,勞安法,安全衛生法,安衛法,,,,,,,
職業災害,職災,職傷,,,,,,,,,
勞工體格檢查,體檢,體格檢查,,,,,,,,,
勞工健康檢查,健檢,健康檢查,,,,,,,,,
安全衛生工作守則,安衛守則,工作守則,安全衛生守則,職業安全衛生守則,安全規則,勞安規則,勞安守則,職安規則,職安守則,,
起重機,吊車,塔吊,天車,,,,,,,,
升降機,昇降機,升降設備,昇降機具,升降機具,昇降設備,,,,,,
職業病,職業疾病,職病,職業傷病,,,,,,,,
交通事故,車禍,交通意外,,,,,,,,,
徵才,應徵,招募,求職,面試,召募,,,,,,
罰鍰,處分,裁處,罰錢,行政罰,行政處分,,,,,,
勞工大學,勞大,,,,,,,,,,
勞工教育,勞教,,,,,,,,,,
勞動條件科,勞條科,條件科,,,,,,,,,
勞工組織科,組織科,工會科,,,,,,,,,
勞資關係科,關係科,,,,,,,,,,
職業重建科,職重科,,,,,,,,,,
就業安全科,就安科,,,,,,,,,,
勞動檢查,勞檢,,,,,,,,,,
訓練就業中心,訓就中心,訓就,職業訓練就業中心,,,,,,,,
博愛職業技能訓練中心,博訓中心,博訓,,,,,,,,,
勞工博物館,勞博館,勞博,勞工展覽館,勞動展覽館,,,,,,,
職業訓練,職前訓練,職訓,就業訓練,,,,,,,,
就業服務站,就服站,服務站,,,,,,,,,
加班,延長勞工工作時間,延長工時,延長工作時間,延時,超時工作,超時加班,,,,,
加班費,延長勞工工作時間工資,延長工作時間工資,延長工時工資,延時工資,超時工資,超時加班費,,,,,
例假,例休假,例休,月休,,,,,,,,
檢舉,陳情,申訴,舉發,告發,申請檢查,申請勞檢,,,,,
重大職業災害,重大職災,重大職傷,,,,,,,,,
職業安全衛生管理,安全衛生管理,安衛管理,安衛,,,,,,,,
84條之1,84-1條,八十四條之一,84之1條,八十四之一條,84條之一,,,,,,
勞工安全衛生教育訓練,安全衛生教育訓練,勞安訓練,勞安教育訓練,職業安全衛生教育訓練,職安訓練,職安衛訓練,安衛訓練,安衛教育訓練,,,
大量解僱,大解,,,,,,,,,,
性別工作平等,兩性工作平等,性平,性別就業平等,兩性就業平等,,,,,,,
外籍移工,外勞,移工,外籍勞工,外國勞工,外國移工,外國人,,,,,
資遣,遣散,辭退,解雇,解僱,,,,,,,
非自願離職,非自願失業,失業勞工離職,失業離職,,,,,,,,
無違反勞工法令證明,無違法證明,無違反法令證明,,,,,,,,,
特定對象,特對,弱勢,,,,,,,,,
